period,hs_code,hs_desc,country,value_usd_mn
2017-18,5205,,ALGERIA,2.57
2017-18,5205,,ARGENTINA,6.81
2017-18,5205,,AUSTRALIA,0.88
2017-18,5205,,AUSTRIA,2.75
2017-18,5205,,BAHARAIN IS,4.63
2017-18,5205,,BANGLADESH PR,663.28
2017-18,5205,,BELARUS,0.07
2017-18,5205,,BELGIUM,11.25
2017-18,5205,,BHUTAN,0.0
2017-18,5205,,BOLIVIA,0.14
2017-18,5205,,BOTSWANA,0.24
2017-18,5205,,BRAZIL,20.87
2017-18,5205,,BULGARIA,3.42
2017-18,5205,,BURUNDI,0.0
2017-18,5205,,CAMBODIA,0.48
2017-18,5205,,CAMEROON,0.12
2017-18,5205,,CANADA,2.52
2017-18,5205,,CHILE,10.6
2017-18,5205,,CHINA P RP,858.25
2017-18,5205,,COLOMBIA,60.98
2017-18,5205,,CONGO D. REP.,0.04
2017-18,5205,,CONGO P REP,0.0
2017-18,5205,,COSTA RICA,0.0
2017-18,5205,,COTE D' IVOIRE,2.16
2017-18,5205,,CROATIA,4.82
2017-18,5205,,CYPRUS,0.01
2017-18,5205,,CZECH REPUBLIC,7.75
2017-18,5205,,DENMARK,7.01
2017-18,5205,,DOMINIC REP,8.8
2017-18,5205,,ECUADOR,3.0
2017-18,5205,,EGYPT A RP,166.28
2017-18,5205,,ESTONIA,0.23
2017-18,5205,,ETHIOPIA,0.93
2017-18,5205,,FIJI IS,0.09
2017-18,5205,,FINLAND,0.17
2017-18,5205,,FRANCE,1.96
2017-18,5205,,GEORGIA,0.06
2017-18,5205,,GERMANY,60.24
2017-18,5205,,GHANA,0.13
2017-18,5205,,GREECE,4.07
2017-18,5205,,GUATEMALA,18.77
2017-18,5205,,HONDURAS,3.43
2017-18,5205,,HONG KONG,41.49
2017-18,5205,,HUNGARY,0.21
2017-18,5205,,INDONESIA,21.3
2017-18,5205,,IRAN,15.77
2017-18,5205,,IRELAND,0.03
2017-18,5205,,ISRAEL,5.27
2017-18,5205,,ITALY,54.21
2017-18,5205,,JAPAN,43.15
2017-18,5205,,JORDAN,4.86
2017-18,5205,,KENYA,1.1
2017-18,5205,,KOREA DP RP,3.71
2017-18,5205,,KOREA RP,110.25
2017-18,5205,,KUWAIT,0.02
2017-18,5205,,LATVIA,0.41
2017-18,5205,,LEBANON,1.29
2017-18,5205,,LITHUANIA,2.06
2017-18,5205,,MACEDONIA,0.9
2017-18,5205,,MADAGASCAR,8.98
2017-18,5205,,MALAWI,0.18
2017-18,5205,,MALAYSIA,16.94
2017-18,5205,,MALTA,0.06
2017-18,5205,,MAURITANIA,0.28
2017-18,5205,,MAURITIUS,36.92
2017-18,5205,,MEXICO,2.68
2017-18,5205,,MONGOLIA,0.05
2017-18,5205,,MONTENEGRO,2.16
2017-18,5205,,MOROCCO,25.53
2017-18,5205,,MYANMAR,42.89
2017-18,5205,,NEPAL,13.18
2017-18,5205,,NETHERLAND,3.27
2017-18,5205,,NEW ZEALAND,0.05
2017-18,5205,,NIGERIA,0.12
2017-18,5205,,NORWAY,0.1
2017-18,5205,,OMAN,0.0
2017-18,5205,,PAKISTAN IR,255.29
2017-18,5205,,PANAMA REPUBLIC,0.07
2017-18,5205,,PARAGUAY,2.31
2017-18,5205,,PERU,123.48
2017-18,5205,,PHILIPPINES,20.6
2017-18,5205,,POLAND,30.04
2017-18,5205,,PORTUGAL,156.58
2017-18,5205,,PUERTO RICO,0.14
2017-18,5205,,QATAR,0.04
2017-18,5205,,ROMANIA,0.21
2017-18,5205,,RUSSIA,0.9
2017-18,5205,,SAUDI ARAB,0.09
2017-18,5205,,SERBIA,0.94
2017-18,5205,,SIERRA LEONE,0.0
2017-18,5205,,SINGAPORE,0.81
2017-18,5205,,SLOVAK REP,0.13
2017-18,5205,,SLOVENIA,2.21
2017-18,5205,,SOUTH AFRICA,4.46
2017-18,5205,,SPAIN,22.16
2017-18,5205,,SRI LANKA DSR,69.85
2017-18,5205,,SUDAN,0.3
2017-18,5205,,SWEDEN,0.03
2017-18,5205,,SWITZERLAND,0.0
2017-18,5205,,SYRIA,8.78
2017-18,5205,,TAIWAN,21.47
2017-18,5205,,TANZANIA REP,0.0
2017-18,5205,,THAILAND,32.48
2017-18,5205,,TRINIDAD,0.0
2017-18,5205,,TUNISIA,16.46
2017-18,5205,,TURKEY,89.39
2017-18,5205,,U ARAB EMTS,6.35
2017-18,5205,,U K,2.13
2017-18,5205,,U S A,14.77
2017-18,5205,,UGANDA,0.02
2017-18,5205,,UKRAINE,6.37
2017-18,5205,,URUGUAY,0.08
2017-18,5205,,VENEZUELA,0.27
2017-18,5205,,VIETNAM SOC REP,78.69
2017-18,5205,,YEMEN REPUBLC,0.01
2017-18,5205,,ZAMBIA,0.1
2018-19,5205,,ALGERIA,7.02
